User ID, Created,Combined household income,Age range,Gender, Device type, Region, Respondent ID,Q(1) What is the total value of your personal savings and investments?,Q(1) Comments [Question: What is the total value of your personal savings and investments?],Q(2) What does money mean for you and your business?,Q(2) Sentiment [Question: What does money mean for you and your business?],Q(3) What makes handling money easier for you?,Q(3) Sentiment [Question: What makes handling money easier for you?]
WJkgoPrL4kPd,2025-03-17T14:17:23+00:00,$200;000+,28,Male,iOS,US,WJkgoPrL4kPd,Less than $100;000,,It means a lot so that I have enough for the future.,0.30,Budgeting and checking my bank accounts everyday.,0.20
rYkvNgmWQkmx,2025-03-17T14:17:26+00:00,$100;000 - $124;999,33,Female,iOS,US,rYkvNgmWQkmx,Less than $100;000,,It’s freedom to do the things I want in life,0.80,Keeping track of all earning and spending,0.80
JGnJVALQMnbx,2025-03-17T14:17:29+00:00,$100;000 - $124;999,38,Male,iOS,US,JGnJVALQMnbx,$100;001 – $500;000,,Having the ability to take time off and enjoy ot,0.80,Quickbooks,0.30
aOkQbedAmn4y,2025-03-17T14:17:34+00:00,$200;000+,45,Female,iOS,US,aOkQbedAmn4y,Less than $100;000,,Liquidity,0.00,Having more of it,0.50
41nqvDqwjlXq,2025-03-17T14:17:43+00:00,$150;000 - $174;999,42,Female,iOS,US,41nqvDqwjlXq,More than $500;001,,For me money means freedom. I would like to amass enough wealth to retire early and spend my time as I please without having to work a job.,0.20,Excel. I track everything that I spend; earn; and save.,0.80
1GnjNXdNwnDA,2025-03-17T14:17:46+00:00,$150;000 - $174;999,32,Male,Android,US,1GnjNXdNwnDA,Less than $100;000,,A means to provide for my family,0.30,Having a strict budget,-0.10
2OkaLgmpe7am,2025-03-17T14:17:56+00:00,$125;000 - $149;999,27,Male,iOS,US,2OkaLgmpe7am,Less than $100;000,,Money means freedom and ability to do more,0.70,Stress and bills help actually to plan my spending,0.70
eLnB85N1r7o8,2025-03-17T14:18:19+00:00,$100;000 - $124;999,34,Male,iOS,US,eLnB85N1r7o8,Less than $100;000,,Money is a tool and it helps to be able to leverage different products we need to run our business efficiently.,0.80,Budgets make handling money easy for me. Also consistency when it comes to upcoming payments and invoices.,0.70
XQnwRNKBpkP2,2025-03-17T14:18:29+00:00,$125;000 - $149;999,32,Male,iOS,US,XQnwRNKBpkP2,$100;001 – $500;000,,Important part,0.30,Proper plan,0.50
yxlRvg9qLlRB,2025-03-17T14:18:38+00:00,$100;000 - $124;999,31,Male,Android,US,yxlRvg9qLlRB,$100;001 – $500;000,,Security,0.30,Investing,0.10
P2nY9eo4Dn90,2025-03-17T14:18:42+00:00,$100;000 - $124;999,32,Female,Android,US,P2nY9eo4Dn90,Less than $100;000,,Literally currency,0.00,Having enough of it to live,0.40
6KnNVDwWbnW2,2025-03-17T14:19:06+00:00,$100;000 - $124;999,37,Female,Android,US,6KnNVDwWbnW2,$100;001 – $500;000,,Success and huility,0.70,Budgets and spreedsheets,0.00
JGnJ1rQ6jkbx,2025-03-17T14:19:21+00:00,$100;000 - $124;999,45,Male,iOS,US,JGnJ1rQ6jkbx,Less than $100;000,,Livelihood,0.10,Understanding costs and researching prices,0.20
MjnZ6g8r4nwP,2025-03-17T14:19:27+00:00,$175;000 - $199;999,36,Male,Android,US,MjnZ6g8r4nwP,$100;001 – $500;000,,I don't have a business but money is a key thing to save to have a safety net,0.00,YNAB,0.30
gK7yoDe9znae,2025-03-17T14:19:43+00:00,$150;000 - $174;999,35,Male,iOS,US,gK7yoDe9znae,$100;001 – $500;000,,I think it means that I have more stability and that I’m doing well overall.,0.80,I think being organized is a huge boon and helpful,0.90
0xk2WrrMAnAw,2025-03-17T14:19:44+00:00,$175;000 - $199;999,40,Male,Android,US,0xk2WrrMAnAw,More than $500;001,,Life easinar,0.50,Invest in more business,-0.30
4N7MPyMNBljE,2025-03-17T14:19:52+00:00,$100;000 - $124;999,33,Male,iOS,US,4N7MPyMNBljE,Less than $100;000,,End goal,0.00,When I have everything I want already.,0.20
6KnNVoEaPnW2,2025-03-17T14:20:23+00:00,$125;000 - $149;999,25,Male,iOS,US,6KnNVoEaPnW2,Less than $100;000,,To be able to live freely,-0.10,Having seperate accounts,0.00
apkDdV2mrk3E,2025-03-17T14:20:36+00:00,$175;000 - $199;999,38,Male,Android,US,apkDdV2mrk3E,$100;001 – $500;000,,Retirement and piece of mind,0.30,Computers and internet,0.00
4N7MP30gjljE,2025-03-17T14:20:36+00:00,$125;000 - $149;999,45,Female,iOS,US,4N7MP30gjljE,Less than $100;000,,Everything,0.40,Idk,0.30
G0lA6YwNX7Pj,2025-03-17T14:22:18+00:00,$175;000 - $199;999,25,Male,iOS,US,G0lA6YwNX7Pj,$100;001 – $500;000,,Freedom,0.30,Apps,0.20
WKn0Xab0YnvA,2025-03-17T14:22:32+00:00,$100;000 - $124;999,38,Male,Android,US,WKn0Xab0YnvA,$100;001 – $500;000,,It means the way I can pay for supplies and services.,0.20,Keeping ii in as few places as possible.,0.50
rYkvw1VQxnmx,2025-03-17T14:23:34+00:00,$125;000 - $149;999,29,Female,Android,US,rYkvw1VQxnmx,$100;001 – $500;000,,It means we have money,0.20,Having hands,0.30
Ka76EXwV9lL1,2025-03-17T14:23:40+00:00,$100;000 - $124;999,30,Female,iOS,US,Ka76EXwV9lL1,Less than $100;000,,It’s a means to support a life,0.60,Having an easy to use app,0.90
JGnJVQYRMnbx,2025-03-17T14:23:45+00:00,$125;000 - $149;999,29,Female,iOS,US,JGnJVQYRMnbx,$100;001 – $500;000,,Money means everything. It means success and comfort,0.40,Open conversations,0.20
MqkKEM2v6l91,2025-03-17T14:23:51+00:00,$100;000 - $124;999,28,Female,iOS,US,MqkKEM2v6l91,$100;001 – $500;000,,Being able to take care of myself,0.90,Having someone to advise me,0.30
2OkaLm8GB7am,2025-03-17T14:23:59+00:00,$125;000 - $149;999,41,Male,Android,US,2OkaLm8GB7am,Less than $100;000,,Bloodline,0.30,Technology,0.10
PLlX2BBQ5kpv,2025-03-17T14:24:13+00:00,$100;000 - $124;999,45,Female,iOS,US,PLlX2BBQ5kpv,Less than $100;000,,It means that you have opportunity.,0.10,Handling money is easier when you have enough.,0.60
Bp7P3BAPjl2x,2025-03-17T14:24:33+00:00,$150;000 - $174;999,30,Male,Android,US,Bp7P3BAPjl2x,$100;001 – $500;000,,I means I have some flexibility and freedom but I'm also at the mercy of the stock market and human greed as usual,-0.40,Nothing; I just pretend I don't have it until retirement,-0.30
Xgl59RJ4Bl8Q,2025-03-17T14:24:38+00:00,$100;000 - $124;999,34,Female,Android,US,Xgl59RJ4Bl8Q,$100;001 – $500;000,,Security during unknown financial times.,0.40,Being the only person responsible to know where everything is.,0.10
qwneWzP2j75r,2025-03-17T14:24:43+00:00,$200;000+,33,Male,Android,US,qwneWzP2j75r,$100;001 – $500;000,,It means everything it's what literally keeps us a float,0.80,An app I can track it with,0.50
rYkvNvJ1Qkmx,2025-03-17T14:25:13+00:00,$100;000 - $124;999,32,Male,Android,US,rYkvNvJ1Qkmx,$100;001 – $500;000,,It means how well we are doing,0.20,Technology,0.10
Ka76EO0zMlL1,2025-03-17T14:25:18+00:00,$125;000 - $149;999,28,Female,iOS,US,Ka76EO0zMlL1,More than $500;001,,means that we can still operate and be successful,0.70,budgeting,0.00
dKk98wwqQ7oe,2025-03-17T14:25:25+00:00,$100;000 - $124;999,39,Male,Android,US,dKk98wwqQ7oe,$100;001 – $500;000,,Security,0.30,Learning to manage it well so that it works for me to make more,0.90
aJnWmmo2X7Db,2025-03-17T14:26:15+00:00,$100;000 - $124;999,33,Female,Android,US,aJnWmmo2X7Db,$100;001 – $500;000,,I don't own a business so I guess it means nothing,-0.70,Being organized with an excel spreadsheet,0.40
XQnwRNmQLkP2,2025-03-17T14:27:06+00:00,$150;000 - $174;999,44,Male,Android,US,XQnwRNmQLkP2,Less than $100;000,,Opportunity to make the decisions you want,0.70,Easy excess to information,0.80
J0nmrZ02elWr,2025-03-17T14:27:29+00:00,$100;000 - $124;999,41,Male,Android,US,J0nmrZ02elWr,Less than $100;000,,Freedom,0.30,Smart apps,0.40
2vlz3bog37Gp,2025-03-17T14:27:52+00:00,$125;000 - $149;999,26,Male,iOS,US,2vlz3bog37Gp,Less than $100;000,,It means quality of life and enjoying life,0.80,Apps that have all accounts and values consolidated,0.60
PLlX23LQAkpv,2025-03-17T14:27:54+00:00,$125;000 - $149;999,32,Female,iOS,US,PLlX23LQAkpv,Less than $100;000,,Money is important,0.30,Nothing,-0.60
8rndNDWWE7MP,2025-03-17T14:28:51+00:00,$150;000 - $174;999,35,Female,Android,US,8rndNDWWE7MP,Less than $100;000,,Positive,0.80,Good,0.80
J0nmpqQ0akWr,2025-03-17T14:29:04+00:00,$100;000 - $124;999,34,Male,iOS,US,J0nmpqQ0akWr,Less than $100;000,,Just trying to pay bills and get out of debt.,-0.60,Detailed in depth budgets and auto pay auto schedule auto withdrawls,0.80
2OkaLgYOV7am,2025-03-17T14:29:41+00:00,$125;000 - $149;999,36,Male,Android,US,2OkaLgYOV7am,$100;001 – $500;000,,Money is a resource and can be used to improve the living conditions and lifestyle,0.20,Automation,0.00
JGnJ1bybXkbx,2025-03-17T14:29:52+00:00,$150;000 - $174;999,44,Male,Android,US,JGnJ1bybXkbx,$100;001 – $500;000,,Key root,0.00,Easy to handle,0.90
gK7yo0zOLnae,2025-03-17T14:30:16+00:00,$200;000+,43,Male,Android,US,gK7yo0zOLnae,More than $500;001,,Freedom to do what I want,0.80,Automation that I don't have to worry about,0.60
MqkKELERXl91,2025-03-17T14:30:17+00:00,$100;000 - $124;999,35,Female,Android,US,MqkKELERXl91,Less than $100;000,,It's for peace of mind in case of emergency,0.60,Being able to get good deals and save,0.90
41nq0VwN8kXq,2025-03-17T14:30:37+00:00,$100;000 - $124;999,39,Male,iOS,US,41nq0VwN8kXq,Less than $100;000,,Freedom,0.30,Financial apps,0.00
2OkaLgYRp7am,2025-03-17T14:31:59+00:00,$100;000 - $124;999,34,Male,Android,US,2OkaLgYRp7am,$100;001 – $500;000,,Financial freedom,0.40,More of it,0.20
PLlXY0B5O7pv,2025-03-17T14:32:22+00:00,$100;000 - $124;999,33,Female,iOS,US,PLlXY0B5O7pv,Less than $100;000,,Money means freedom to engage in a variety of opportunities.,0.80,When things are straightforward. I feel like everything has turned into a game and I hate it.,-0.20
aJnWm40BQ7Db,2025-03-17T14:32:54+00:00,$100;000 - $124;999,39,Male,iOS,US,aJnWm40BQ7Db,Less than $100;000,,Nothing great,-0.60,A briefcase,-0.10
p6n1jD0K5lD2,2025-03-17T14:33:18+00:00,$100;000 - $124;999,37,Female,Android,US,p6n1jD0K5lD2,Less than $100;000,,Security,0.30,Having some,0.40
Xgl5oLmvvk8Q,2025-03-17T14:33:59+00:00,$100;000 - $124;999,28,Male,Android,US,Xgl5oLmvvk8Q,$100;001 – $500;000,,Provision for my family,0.10,Being disciplined,0.20
apkDZx5Erl3E,2025-03-17T14:34:08+00:00,$125;000 - $149;999,37,Male,iOS,US,apkDZx5Erl3E,$100;001 – $500;000,,Better life,0.50,Organized,0.70
RE7LzNKa5n0v,2025-03-17T14:34:48+00:00,$200;000+,32,Female,iOS,US,RE7LzNKa5n0v,$100;001 – $500;000,,It’s important,0.60,Having help,0.30
3gkxg9JoR7Wq,2025-03-17T14:35:33+00:00,$200;000+,31,Female,iOS,US,3gkxg9JoR7Wq,Less than $100;000,,I don’t have a business,-0.70,I don’t have a lot,-0.60
rYkvNdLOEkmx,2025-03-17T14:38:38+00:00,$100;000 - $124;999,26,Female,iOS,US,rYkvNdLOEkmx,Less than $100;000,,It means freedom,0.20,Hiring people who understand how money works,-0.20
JGnJ1d8Bdkbx,2025-03-17T14:38:54+00:00,$100;000 - $124;999,35,Male,iOS,US,JGnJ1d8Bdkbx,Less than $100;000,,It means freedom,0.20,Everything in my hands,0.80
WJkgB681e7Pd,2025-03-17T14:40:47+00:00,$125;000 - $149;999,45,Female,iOS,US,WJkgB681e7Pd,More than $500;001,,It’s means the source’s of wealth,0.10,By investing it,0.00
aXk4d3444kJW,2025-03-17T14:41:18+00:00,$150;000 - $174;999,25,Female,Android,US,aXk4d3444kJW,Less than $100;000,,Money ,-0.10,Well I can say you have to have discipline.,-0.20
Zz7bo6zeOkgY,2025-03-17T14:41:48+00:00,$100;000 - $124;999,30,Male,iOS,US,Zz7bo6zeOkgY,Less than $100;000,,I want my money to matter to me. I want to make smart decisions with my money,-0.30,I write down all my expenses and how much money I make.,0.20
gK7yoDJ2mnae,2025-03-17T14:42:54+00:00,$125;000 - $149;999,41,Male,iOS,US,gK7yoDJ2mnae,$100;001 – $500;000,,It means that I can get what I want,0.70,If I have enough to pay for things with money left over,-0.50
dKk98aNVJ7oe,2025-03-17T14:43:35+00:00,$200;000+,40,Male,Android,US,dKk98aNVJ7oe,More than $500;001,,Successful,0.60,Financial advisor,0.10
wNko4QX8NnBL,2025-03-17T14:43:42+00:00,$200;000+,42,Female,iOS,US,wNko4QX8NnBL,Less than $100;000,,Makes life easier,0.90,Having someone else Handle It for me,0.00
v6n3xrq9vl3Z,2025-03-17T14:44:13+00:00,$200;000+,40,Male,Android,US,v6n3xrq9vl3Z,$100;001 – $500;000,,Money serves as a tool to better my life and the society in general,0.50,I used the service of a financial advisor to handle money with care,0.00
41nqvLmamlXq,2025-03-17T14:46:29+00:00,$150;000 - $174;999,34,Male,iOS,US,41nqvLmamlXq,Less than $100;000,,It means beung able to afford life,0.40,Savings accounts,0.20
apkDZPod6l3E,2025-03-17T14:47:11+00:00,$200;000+,29,Female,iOS,US,apkDZPod6l3E,More than $500;001,,Money means more resources and doing what my potential is,0.40,Having a budget and seeing a balance sheet at a regular cadence,0.00
Zz7bowDZ3kgY,2025-03-17T14:47:14+00:00,$100;000 - $124;999,36,Male,Android,US,Zz7bowDZ3kgY,$100;001 – $500;000,,I don't own a business,-0.60,Having accounts set up and online access,0.00
JGnJVGMaXnbx,2025-03-17T14:47:32+00:00,$100;000 - $124;999,45,Female,Android,US,JGnJVGMaXnbx,Less than $100;000,,I don't have a business. Money for me means freedom,-0.10,Knowledge & understanding,0.90
wNkoZV8Y17BL,2025-03-17T14:48:18+00:00,$100;000 - $124;999,43,Female,Android,US,wNkoZV8Y17BL,Less than $100;000,,It means survival,0.00,Teaching software,0.00
dKk98AjZ97oe,2025-03-17T14:49:54+00:00,$200;000+,44,Male,Android,US,dKk98AjZ97oe,More than $500;001,,Peace of mind in the future,0.90,Online tools,0.00
aOkQRPagOn4y,2025-03-17T14:50:56+00:00,$100;000 - $124;999,30,Male,iOS,US,aOkQRPagOn4y,Less than $100;000,,It means safety,0.30,I try to save it and forget it,-0.50
JGnJ1DzDXkbx,2025-03-17T14:53:21+00:00,$125;000 - $149;999,45,Male,iOS,US,JGnJ1DzDXkbx,$100;001 – $500;000,,It’s so nice and great,0.90,It’s nice and good,0.90
2OkaLgdpV7am,2025-03-17T14:53:28+00:00,$200;000+,27,Female,iOS,US,2OkaLgdpV7am,$100;001 – $500;000,,The financial stability if anything should happen in event of emergency,0.40,Just putting money aside before it hits the checking account so it never “existed” for me,-0.70
apkDZxzxZl3E,2025-03-17T14:53:38+00:00,$100;000 - $124;999,39,Male,Android,US,apkDZxzxZl3E,$100;001 – $500;000,,I don't have my own business,-0.70,Budget apps,0.00
PYl83a6GZnW1,2025-03-17T14:53:58+00:00,$125;000 - $149;999,42,Male,iOS,US,PYl83a6GZnW1,$100;001 – $500;000,,Useful it is a tool,0.60,Software,0.00
XQnwRyeMykP2,2025-03-17T14:54:29+00:00,$100;000 - $124;999,27,Male,iOS,US,XQnwRyeMykP2,$100;001 – $500;000,,It means freedom,0.20,When I don’t have to think too much about it,0.10
MjnZPDBdR7wP,2025-03-17T14:55:30+00:00,$200;000+,40,Female,Android,US,MjnZPDBdR7wP,More than $500;001,,Success,0.80,Financially advisor,0.20
G0lA8OMyenPj,2025-03-17T14:55:38+00:00,$200;000+,33,Female,Android,US,G0lA8OMyenPj,More than $500;001,,Helps.,0.80,Saving it,0.20
2rlrjYxVRl8W,2025-03-17T14:56:15+00:00,$175;000 - $199;999,35,Male,Android,US,2rlrjYxVRl8W,Less than $100;000,,Everything,0.40,Everything,0.40
dKk90MxLQ7oe,2025-03-17T14:56:36+00:00,$150;000 - $174;999,40,Female,Android,US,dKk90MxLQ7oe,Less than $100;000,,Comfort,0.90,Digital banking,0.00
1GnjBLO8mnDA,2025-03-17T14:59:01+00:00,$100;000 - $124;999,45,Male,Android,US,1GnjBLO8mnDA,$100;001 – $500;000,,Money doesn't equal happiness; but having enough to avoid daily stress over money is worth everything,0.70,A monitoring app with linked accounts,0.00
Ka76EedZ4lL1,2025-03-17T15:00:01+00:00,$100;000 - $124;999,44,Male,iOS,US,Ka76EedZ4lL1,$100;001 – $500;000,,For me it means freedom,0.60,Different apps,0.00
WKn0XV9x4nvA,2025-03-17T15:01:38+00:00,$100;000 - $124;999,30,Female,Android,US,WKn0XV9x4nvA,$100;001 – $500;000,,Something that needs to keep coming to stay afloat,0.00,Accounting,0.00
P2nY2rLLDl90,2025-03-17T15:02:23+00:00,$125;000 - $149;999,43,Male,Android,US,P2nY2rLLDl90,$100;001 – $500;000,,A future,0.40,I make good decisions; don't spend much,0.30
p0lOGLRrXl8N,2025-03-17T15:03:28+00:00,$200;000+,44,Female,iOS,US,p0lOGLRrXl8N,More than $500;001,,It means freedom to persue my interests.,0.10,Knowing that I can do it on my own.,0.20
p0lOaJQK0k8N,2025-03-17T15:03:56+00:00,$200;000+,35,Female,iOS,US,p0lOaJQK0k8N,$100;001 – $500;000,,Important; it’s what makes the business work.,0.70,Experts and partners in the business,0.70
yxlRJAXQMlRB,2025-03-17T15:06:12+00:00,$100;000 - $124;999,43,Female,Android,US,yxlRJAXQMlRB,$100;001 – $500;000,,Stress and scarcity.,-0.70,More money,0.00
0xk2Wvm2ynAw,2025-03-17T15:09:04+00:00,$100;000 - $124;999,41,Male,iOS,US,0xk2Wvm2ynAw,Less than $100;000,,Everything,0.40,Tools that can help,0.60
v6n3dvYP5l3Z,2025-03-17T15:09:53+00:00,$125;000 - $149;999,34,Male,Android,US,v6n3dvYP5l3Z,$100;001 – $500;000,,Means success and happiness,0.80,Keeping track of everything,0.80
PLlXYyWqj7pv,2025-03-17T15:10:53+00:00,$100;000 - $124;999,25,Female,iOS,US,PLlXYyWqj7pv,Less than $100;000,,Money is really important to live a happy and stress free life. You can easily lose and gain it.,0.20,Keeping within my budget,0.50
Xgl5ov6M5k8Q,2025-03-17T15:13:08+00:00,$100;000 - $124;999,39,Male,iOS,US,Xgl5ov6M5k8Q,Less than $100;000,,The ability to exist in society,0.20,More money,0.00
yxlRv0dN9lRB,2025-03-17T15:13:46+00:00,$200;000+,38,Male,iOS,US,yxlRv0dN9lRB,More than $500;001,,It means a lot,0.40,Apps,0.20
4N7MJ4OWKkjE,2025-03-17T15:14:26+00:00,$100;000 - $124;999,45,Male,iOS,US,4N7MJ4OWKkjE,$100;001 – $500;000,,I don't have my own business,-0.70,Having one system that I can see the flow of the various streams,0.40
MqkKEVAqel91,2025-03-17T15:15:27+00:00,$175;000 - $199;999,36,Male,Android,US,MqkKEVAqel91,$100;001 – $500;000,,Just a mean to live comfortably and help people around me,0.50,I have a good math brain so it comes naturally,0.60
eLnBqdjM6ko8,2025-03-17T15:15:39+00:00,$125;000 - $149;999,29,Male,Android,US,eLnBqdjM6ko8,Less than $100;000,,Comfort,0.90,Making money,0.00
P2nY2pzdyl90,2025-03-17T15:15:59+00:00,$125;000 - $149;999,42,Female,iOS,US,P2nY2pzdyl90,$100;001 – $500;000,,Security; opportunity; and necessity,0.20,My husband is great at saving; budgeting; and investing,0.90
MJkGZ01zd7bx,2025-03-17T15:17:10+00:00,$125;000 - $149;999,45,Male,Android,US,MJkGZ01zd7bx,Less than $100;000,,It means everything. It makes the world go round.,0.50,Having enough of it in different places.,0.40
Xgl5oPeE5k8Q,2025-03-17T15:18:36+00:00,$200;000+,30,Male,Android,US,Xgl5oPeE5k8Q,More than $500;001,,Successful,0.60,Financial advisor,0.10
XQnwYxbRy7P2,2025-03-17T15:21:23+00:00,$100;000 - $124;999,32,Female,Android,US,XQnwYxbRy7P2,Less than $100;000,,That I have business,0.10,Having a bank that helps me out,0.80
4N7MJxNXrkjE,2025-03-17T15:26:17+00:00,$175;000 - $199;999,32,Female,Android,US,4N7MJxNXrkjE,Less than $100;000,,Freedom and opportunity to take chances,0.50,Having a high level understanding of where money goes and fixed costs,0.70
G0lA8EPKmnPj,2025-03-17T15:26:26+00:00,$150;000 - $174;999,26,Female,iOS,US,G0lA8EPKmnPj,Less than $100;000,,A means to live,0.20,Bookkeeping,0.30
MJkGZRAy17bx,2025-03-17T15:28:08+00:00,$150;000 - $174;999,42,Female,iOS,US,MJkGZRAy17bx,Less than $100;000,,It means financial security,0.10,Making more of it lol,0.90
qwneW59aZ75r,2025-03-17T15:30:50+00:00,$125;000 - $149;999,44,Female,iOS,US,qwneW59aZ75r,$100;001 – $500;000,,It means either growth or default,0.00,Having an app that is easy to work,0.90
1GnjB0xoDnDA,2025-03-17T15:31:55+00:00,$125;000 - $149;999,45,Male,iOS,US,1GnjB0xoDnDA,More than $500;001,,Money makes the world go around,-0.10,Gloves,-0.10
gK7y63xDLkae,2025-03-17T15:32:16+00:00,$200;000+,34,Male,Android,US,gK7y63xDLkae,$100;001 – $500;000,,It actually mean a state of being free from financial crisis.,0.00,Budgeting and tracking if money make it easier for me,0.60
p0lOar3rZk8N,2025-03-17T15:33:11+00:00,$175;000 - $199;999,36,Male,iOS,US,p0lOar3rZk8N,Less than $100;000,,Flexibility,0.50,Technology,0.10
yxlRvm4zjlRB,2025-03-17T15:34:03+00:00,$100;000 - $124;999,44,Male,Android,US,yxlRvm4zjlRB,Less than $100;000,,It means being able to buy things and not rely on credit,0.30,Having it,0.40
qVlp98q9G7A5,2025-03-17T15:36:39+00:00,$100;000 - $124;999,31,Female,Android,US,qVlp98q9G7A5,$100;001 – $500;000,,It means freedom and ability to take chances with less fear,0.60,Having round the clock insights to its performance and amount,0.10
1GnjNXDz2nDA,2025-03-17T15:38:10+00:00,$150;000 - $174;999,40,Male,Android,US,1GnjNXDz2nDA,$100;001 – $500;000,,It allows me to plan for the future and be able to consider my date for retirement,0.90,Knowing my income and expenses,0.00
P2nY2yp50l90,2025-03-17T15:38:51+00:00,$100;000 - $124;999,32,Male,Android,US,P2nY2yp50l90,$100;001 – $500;000,,Money for me means a path to Independence later in life.,0.40,Having services that centralize all of my accounts in order to have an overview of everything,0.00
41nq0KAyOkXq,2025-03-17T15:38:55+00:00,$125;000 - $149;999,41,Female,iOS,US,41nq0KAyOkXq,Less than $100;000,,The ability to expand,0.20,Using programming,-0.20
RE7LZv0gPn0v,2025-03-17T15:39:09+00:00,$200;000+,35,Male,iOS,US,RE7LZv0gPn0v,More than $500;001,,It is what enables me to live a comfortable life.,0.90,I like tools that allow me to easily download data and view it online.,0.90
P2nY29ob0l90,2025-03-17T15:41:28+00:00,$100;000 - $124;999,26,Male,Android,US,P2nY29ob0l90,Less than $100;000,,I don't have a business,-0.70,Having a clear idea of what it needs to be spent on,0.30
6KnNVoX4NnW2,2025-03-17T15:43:05+00:00,$150;000 - $174;999,42,Male,Android,US,6KnNVoX4NnW2,$100;001 – $500;000,,It means God now a days,0.10,Do it yourself,-0.30
JGnJ1Jzq5kbx,2025-03-17T15:46:22+00:00,$100;000 - $124;999,38,Male,iOS,US,JGnJ1Jzq5kbx,Less than $100;000,,It means for a confident future,0.70,Clear records,0.60
qVlpBzEXOkA5,2025-03-17T15:47:29+00:00,$200;000+,43,Female,iOS,US,qVlpBzEXOkA5,$100;001 – $500;000,,It means security for my future,0.70,Lay person language,0.00
41nq04N8wkXq,2025-03-17T15:47:59+00:00,$175;000 - $199;999,45,Male,iOS,US,41nq04N8wkXq,Less than $100;000,,Safe to live the way I want.,0.90,Easy access,0.80
wNkoZ9J9N7BL,2025-03-17T15:48:17+00:00,$150;000 - $174;999,43,Male,iOS,US,wNkoZ9J9N7BL,Less than $100;000,,Life,0.60,Having money,0.50
gK7yog893nae,2025-03-17T15:48:52+00:00,$175;000 - $199;999,30,Male,Android,US,gK7yog893nae,$100;001 – $500;000,,To be able to take care of myself,0.00,Using apps like PayPal and chase,-0.20
rYkvwD5gKnmx,2025-03-17T15:50:15+00:00,$150;000 - $174;999,28,Male,iOS,US,rYkvwD5gKnmx,Less than $100;000,,It’s a means to enjoying activities,0.70,Having the ability to have some on reserve,0.60
XQnwRy3GXkP2,2025-03-17T15:50:53+00:00,$100;000 - $124;999,30,Female,Android,US,XQnwRy3GXkP2,$100;001 – $500;000,,It means being comfortable and stable,0.80,Knowing there is enough of it,0.00
P2nY2aZw0l90,2025-03-17T15:50:58+00:00,$125;000 - $149;999,30,Male,iOS,US,P2nY2aZw0l90,More than $500;001,,It means not having to worry sbot anything,0.40,Having someone else invest for me,0.00
p0lOaJyQ3k8N,2025-03-17T15:53:06+00:00,$150;000 - $174;999,37,Male,iOS,US,p0lOaJyQ3k8N,$100;001 – $500;000,,Independence and self determination,0.10,Consistent billing and invoicing,0.40
RE7LzNRLpn0v,2025-03-17T15:53:31+00:00,$125;000 - $149;999,38,Male,iOS,US,RE7LzNRLpn0v,$100;001 – $500;000,,freedom,0.30,having more,0.60
qwneWzq1e75r,2025-03-17T15:55:21+00:00,$100;000 - $124;999,45,Male,Android,US,qwneWzq1e75r,$100;001 – $500;000,,It's very important,0.80,Accountant,0.00
2OkaGNJ8elam,2025-03-17T15:55:27+00:00,$200;000+,36,Female,Android,US,2OkaGNJ8elam,Less than $100;000,,I don't have a business. Right now it's just a means to afford the necessitied,-0.50,A clear view of bills and upcoming financial goals,0.60
gK7y6RaeLkae,2025-03-17T15:56:12+00:00,$100;000 - $124;999,35,Female,Android,US,gK7y6RaeLkae,Less than $100;000,,this question is vague and ridiculous,-0.80,society being better,0.50
3gkxg4Mm27Wq,2025-03-17T15:56:42+00:00,$125;000 - $149;999,36,Male,Android,US,3gkxg4Mm27Wq,$100;001 – $500;000,,Money is what I get from work and how I manage to grow.,0.20,I use spreadsheets a lot to manage everything in my life.,0.60
yxlRJGpWblRB,2025-03-17T15:57:10+00:00,$125;000 - $149;999,39,Female,Android,US,yxlRJGpWblRB,Less than $100;000,,It means everything,0.20,Possibly hiringvsomekbe,0.00
aOkQRobgpn4y,2025-03-17T15:58:22+00:00,$100;000 - $124;999,32,Male,iOS,US,aOkQRobgpn4y,Less than $100;000,,A means to an end,-0.40,Capitol one,0.30
WJkgoPpRZkPd,2025-03-17T15:58:22+00:00,$100;000 - $124;999,29,Male,iOS,US,WJkgoPpRZkPd,Less than $100;000,,Mean power to create new thing,0.00,Make Bussines,0.00
WKn02P9ZR7vA,2025-03-17T15:59:04+00:00,$100;000 - $124;999,26,Female,Android,US,WKn02P9ZR7vA,$100;001 – $500;000,,Opportunity,0.20,Online banking,0.00
8rndNzGNW7MP,2025-03-17T15:59:43+00:00,$125;000 - $149;999,35,Male,iOS,US,8rndNzGNW7MP,Less than $100;000,,Time and energy in abstracted form,-0.10,Scarcity breeds value. Buy Bitcoin,-0.30
yxlRJAdGXlRB,2025-03-17T16:00:34+00:00,$150;000 - $174;999,40,Female,Android,US,yxlRJAdGXlRB,More than $500;001,,Freedom of thought and activity without stress,0.70,Having lots of it,0.40
rYkvwxWAGnmx,2025-03-17T16:01:48+00:00,$100;000 - $124;999,39,Male,iOS,US,rYkvwxWAGnmx,$100;001 – $500;000,,Money is a means to an end. I want to retire early. Saving more and properly investing will allow that. I also want to leave enough to my children.,-0.20,Simple navigations. Simple descriptions.,0.20
