User ID, Created,Ethnicity,Gender,Age range, Device type, Region, Respondent ID,Q(1) What does money mean to you?,Q(1) Sentiment [Question: What does money mean to you?],Q(2) What makes managing your money easier?,Q(2) Sentiment [Question: What makes managing your money easier?],Q(3) What tricks help you make your money last?,Q(3) Sentiment [Question: What tricks help you make your money last?]
2vlzQKpABnGp,2025-03-14T21:35:03+00:00,Hispanic/Latino,Male,37,iOS,US,2vlzQKpABnGp,It’s just a means to survive,-0.30,Knowing when to spend and not spend,0.00,Putting it into a savings account,0.30
aOkQRPagOn4y,2025-03-14T21:35:04+00:00,Hispanic/Latino,Male,30,iOS,US,aOkQRPagOn4y,It means safety,0.30,I think not spending money helps,-0.50,I hide the money,0.10
rYkvwNOLxnmx,2025-03-14T21:35:15+00:00,Hispanic/Latino,Female,43,iOS,US,rYkvwNOLxnmx,It means I can eat today,0.00,Someone else handing it 4 me,-0.40,Putting it in someone else’s hands,-0.60
WKn02yE547vA,2025-03-14T21:35:16+00:00,Hispanic/Latino,Male,41,Android,US,WKn02yE547vA,Ability to pay for goods and services,0.10,Setting budgets,0.00,Setting budgets; being frugal; buying only necessities,0.00
p0lOa00Rvk8N,2025-03-14T21:36:24+00:00,Hispanic/Latino,Male,47,Android,US,p0lOa00Rvk8N,Money is a means to live our life,0.00,Having a lot of money.,0.20,Coupon clipping.   Shopping around for bargains.,0.10
XQnwYPwp47P2,2025-03-14T21:37:23+00:00,Hispanic/Latino,Male,36,iOS,US,XQnwYPwp47P2,A necessary evil,-0.70,Budgeting sheets,0.00,Limiting my spend on consumerist items,-0.60
2rlr9a2aen8W,2025-03-14T21:39:22+00:00,Hispanic/Latino,Male,34,Android,US,2rlr9a2aen8W,Money means financial stability,0.50,Managing my money is easy when I keep track of expenses,0.90,To try to pay off bills on time and avoid late fees,0.30
eLnB8EeeG7o8,2025-03-14T21:39:35+00:00,Hispanic/Latino,Female,71,iOS,US,eLnB8EeeG7o8,It is a means to survive but also to enjoy life in a moderate way.,0.50,Using the bank apps help to keep up with my accounts,0.20,I like to buy food in bulk so I don't have to go to the store as often,0.90
2vlzQBAAenGp,2025-03-14T21:53:07+00:00,Hispanic/Latino,Female,30,iOS,US,2vlzQBAAenGp,Everything,0.40,N/A,-0.20,Save up,0.00
4N7MPDyrQljE,2025-03-14T21:58:44+00:00,Hispanic/Latino,Female,37,iOS,US,4N7MPDyrQljE,Estability,0.30,Save money,0.80,Work hagard,0.10
MJkGZoEJN7bx,2025-03-14T22:02:37+00:00,Hispanic/Latino,Female,30,iOS,US,MJkGZoEJN7bx,Opportunities,0.30,Thinking of different strategies,0.20,Not thinking about it,-0.50
qVlp9851O7A5,2025-03-14T22:36:42+00:00,Hispanic/Latino,Female,39,Android,US,qVlp9851O7A5,Financial power.,0.00,Having apps that track spending and spacing due dates of bills so they don't all fall on the same day.,0.10,Cut down impulse shopping. Stay away from stores. Add items to cart online but only purchase if they go on sale and I still really want it.,-0.20
v6n3x8O2Ml3Z,2025-03-15T00:31:09+00:00,Hispanic/Latino,Female,19,iOS,US,v6n3x8O2Ml3Z,It means the way the I can get to live comfortably,0.90,My dad!,0.30,Not spending my money,-0.70
GxkV9vd4r7bN,2025-03-15T00:38:27+00:00,Hispanic/Latino,Female,33,iOS,US,GxkV9vd4r7bN,Money means security,0.30,Planning and budgeting,0.00,Budgeting and looking for good deals.,0.40
aOkQbgPddn4y,2025-03-15T01:02:30+00:00,Hispanic/Latino,Female,28,iOS,US,aOkQbgPddn4y,Money means happiness,0.80,Write down all my bills,-0.10,Putting it in a high yield savings account,0.50
XQnwY0pWL7P2,2025-03-15T01:15:38+00:00,Hispanic/Latino,Female,39,Android,US,XQnwY0pWL7P2,Security,0.30,Having enough,0.20,Savings,0.80
XOlEjjxpG7gp,2025-03-15T01:54:54+00:00,Hispanic/Latino,Male,58,iOS,US,XOlEjjxpG7gp,Great living,0.90,Budgeting,0.00,Smart spending,0.40
Zz7brYbLM7gY,2025-03-15T02:30:36+00:00,Hispanic/Latino,Female,34,iOS,US,Zz7brYbLM7gY,Survival and delights,0.60,Apps,0.20,Apps and setting notifications,-0.20
